 0.000000e+00  1.000000e+00  0.000000e+00 -7.359210e-20
 1.000000e-01  1.000000e+00  0.000000e+00  2.975896e-04
 2.000000e-01  1.000000e+00  0.000000e+00  4.969247e-04
 3.000000e-01  1.000000e+00  0.000000e+00  6.115649e-04
 4.000000e-01  1.000000e+00  0.000000e+00  6.672847e-04
 5.000000e-01  1.000000e+00  0.000000e+00  6.959686e-04
 6.000000e-01  1.000000e+00  0.000000e+00  7.155171e-04
 7.000000e-01  1.000000e+00  0.000000e+00  7.318777e-04
 8.000000e-01  1.000000e+00  0.000000e+00  7.467957e-04
 9.000000e-01  1.000000e+00  0.000000e+00  7.608884e-04
 1.000000e+00  1.000000e+00  0.000000e+00  7.744325e-04
 1.100000e+00  1.000000e+00  0.000000e+00  7.875806e-04
 1.200000e+00  1.000000e+00  0.000000e+00  8.004267e-04
 1.300000e+00  1.000000e+00  0.000000e+00  8.130375e-04
 1.400000e+00  1.000000e+00  0.000000e+00  8.254611e-04
 1.500000e+00  1.000000e+00  0.000000e+00  8.377362e-04
 1.600000e+00  1.000000e+00  0.000000e+00  8.498912e-04
 1.700000e+00  1.000000e+00  0.000000e+00  8.619507e-04
 1.800000e+00  1.000000e+00  0.000000e+00  8.739347e-04
 1.900000e+00  1.000000e+00  0.000000e+00  8.858583e-04
 2.000000e+00  1.000000e+00  0.000000e+00  8.977356e-04
 2.100000e+00  1.000000e+00  0.000000e+00  9.095782e-04
 2.200000e+00  1.000000e+00  0.000000e+00  9.213948e-04
 2.300000e+00  1.000000e+00  0.000000e+00  9.331943e-04
 2.400000e+00  1.000000e+00  0.000000e+00  9.449838e-04
 2.500000e+00  1.000000e+00  0.000000e+00  9.567689e-04
 2.600000e+00  1.000000e+00  0.000000e+00  9.685553e-04
 2.700000e+00  1.000000e+00  0.000000e+00  9.803480e-04
 2.800000e+00  1.000000e+00  0.000000e+00  9.921510e-04
 2.900000e+00  1.000000e+00  0.000000e+00  1.003968e-03
 3.000000e+00  1.000000e+00  0.000000e+00  1.015803e-03
 3.100000e+00  1.000000e+00  0.000000e+00  1.027659e-03
 3.200000e+00  1.000000e+00  0.000000e+00  1.039539e-03
 3.300000e+00  1.000000e+00  0.000000e+00  1.051446e-03
 3.400000e+00  1.000000e+00  0.000000e+00  1.063384e-03
 3.500000e+00  1.000000e+00  0.000000e+00  1.075354e-03
 3.600000e+00  1.000000e+00  0.000000e+00  1.087361e-03
